Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
6/21/2019,537,10:33,20.56,ChCr01,631,16.6,7.73,0.31,,8.32,34.53
6/27/2019,543,9:41,25.56,ChCr01,788,17.3,8.29,0.39,,8.77,60.8
7/4/2019,550,11:59,27.22,ChCr01,988,20.2,7.79,0.49,,7.2,77.81
7/11/2019,557,1:30,24.44,ChCr01,894,20.4,7.92,0.44,133.5,8.08,70.49
7/18/2019,564,10:54,22.78,ChCr01,1089,20.1,7.21,0.54,101.55,6.94,69.32
7/25/2019,571,10:33,20,ChCr01,1324,17.5,7.17,0.67,,7.57,73.97
8/1/2019,578,10:39,22.78,ChCr01,1555,19.5,7.29,0.79,583,6.42,89.99
8/8/2019,585,10:11,21.11,ChCr01,1757,19.1,7.26,0.89,272.75,5.1,144.52
8/22/2019,599,9:58,22.78,ChCr01,2244,19.2,6.88,1.15,280,2.68,
9/8/2019,616,11:57,21.67,ChCr01,2457,17.2,7.85,1.27,,7.21,
9/30/2019,638,14:51,27.78,ChCr01,1216,20.1,7.74,0.61,,7.03,
10/21/2019,659,12:17,20.56,ChCr01,2852,12.6,6.85,1.49,,9.8,149.03
10/28/2019,666,11:58,15.56,ChCr01,1661,11.6,7.54,0.84,,9.34,72.23
11/4/2019,673,11:18,12.22,ChCr01,1285,8.4,7.62,0.64,,7.44,72.17
11/11/2019,680,12:17,14.44,ChCr01,1379,9.3,7.53,0.69,,6.84,70.11
11/25/2019,694,9:26,10,ChCr01,1116,4.8,8.12,0.55,,10.73,53.01
12/11/2019,710,9:26,-6.11,ChCr01,871,2.9,8.43,0.43,,,28.47
12/18/2019,717,9:53,-4.44,ChCr01,853.1,3.2,8.43,0.42,,15.92,42.85
12/26/2019,725,8:16,5,ChCr01,1177,3.6,8.41,0.58,,14.66,55.24
1/8/2020,738,11:00,1.11,ChCr01,955,3.9,7.46,0.47,,13.01,46.08
1/20/2020,750,12:05,-3.33,ChCr01,888,2.6,8.42,0.43,,14.73,51.23
1/28/2020,758,12:45,1.11,ChCr01,846,5.3,8.54,0.42,,13.51,49.44
2/10/2020,771,12:53,1.11,ChCr01,693.4,7,8.61,0.34,,12.36,52.35
2/18/2020,779,12:53,10,ChCr01,822,7.9,8.47,0.41,,11.74,46.59
2/25/2020,786,12:19,5,ChCr01,941,7.5,7.94,0.47,,12.26,45.91
3/4/2020,794,12:15,11.67,ChCr01,823,7.8,7.88,0.41,,12.27,29.53
3/9/2020,799,10:46,15,ChCr01,958,6.2,7.87,0.47,,13.35,50.47
3/26/2020,816,8:49,4.4,ChCr01,775,6.9,7.79,0.38,,12.14,45.28
4/10/2020,831,8:58,1.11,ChCr01,689.5,5.3,7.98,0.34,,10.51,64.52
5/1/2020,852,8:21,7.22,ChCr01,641,9.8,7.93,0.31,,12.08,51.13
5/8/2020,859,9:07,7.78,ChCr01,788,9.6,7.86,0.39,,11.16,72.62
5/13/2020,864,8:19,5,ChCr01,850,6.7,8.06,0.42,,10.18,88.94
5/20/2020,871,8:48,8.89,ChCr01,1020,12.1,8.94,0.51,,7.33,86.27
5/28/2020,879,9:09,18.89,ChCr01,718,17.3,7.83,0.35,,8.59,69.5
6/5/2020,887,11:13,21.67,ChCr01,1126,16.7,7.31,0.56,,7.89,70.74
6/10/2020,892,7:22,25,ChCr01,1295,18.3,8.02,0.65,86.9,1.64,
6/17/2020,899,9:31,18.89,ChCr01,1502,16.7,7,0.76,67.25,9.02,
6/22/2020,904,7:27,21.11,ChCr01,1743,17.8,6.45,0.89,,10.76,
7/1/2020,913,7:40,21.67,ChCr01,1471,17.2,6.97,0.74,82.78,8.46,68.9
7/9/2020,921,7:23,22.78,ChCr01,1754,19.1,6.69,0.89,95.2,7.65,83.42
7/29/2020,941,8:34,18.89,ChCr01,2534,18,6.24,1.31,111.75,8.04,108.41
8/3/2020,946,7:23,18.33,ChCr01,3186,17.8,6.2,1.66,108,7.78,133.43
8/11/2020,954,7:27,21.11,ChCr01,4460,18.1,5.25,2.39,140.75,8.21,141.34
8/19/2020,962,12:05,23.59,ChCr01,5120,17.5,5.29,2.77,140,7.96,156.99
8/26/2020,969,12:31,23.89,ChCr01,4916,18.4,4.93,2.65,141.25,6.92,199.23
9/2/2020,976,12:24,24.44,ChCr01,1734,20.8,5.55,0.88,94.5,7,95.77
9/9/2020,983,11:03,28.33,ChCr01,3231,18.7,6.1,1.7,155,7.86,135.32
9/16/2020,990,12:30,17.33,ChCr01,4030,15.7,6.74,2.15,132.25,8.61,139.95
9/23/2020,997,11:21,20,ChCr01,4436,13.7,5.61,2.37,106.25,8.95,158.2
9/30/2020,1004,11:20,15,ChCr01,3234,14.3,5.28,1.69,115.25,7.2,120.38
10/7/2020,1011,11:05,18.89,ChCr01,4771,13.7,4.85,2.57,176.75,8.26,138.99
10/14/2020,1019,11:06,15.56,ChCr01,4184,13.1,4.83,2.23,203.25,8.26,158.01
10/20/2020,1026,12:52,16.67,ChCr01,2608,13.4,6.65,1.36,,9.94,150.88
12/3/2020,1068,11:25,1.11,ChCr01,1712,3.1,6.57,0.86,,22.25,180.78
6/21/2019,537,10:44,20.56,ChCr02,617,17.2,8.14,0.3,,9.12,33.14
6/27/2019,543,9:51,25.56,ChCr02,767,17.7,8.19,0.38,,9.59,49.76
7/4/2019,550,12:22,27.22,ChCr02,923,21.7,8.16,0.46,,7.92,45.81
7/12/2019,558,10:00,20.56,ChCr02,884,19.2,8.32,0.44,207,9.7,42.24
7/26/2019,572,9:01,20,ChCr02,1226,17.1,8.57,0.61,,9.21,36.38
