Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
6/28/2018,179,12:35,22.78,BfCr01,365.5,19.72,8.29,0.18,107.75,,
7/3/2018,184,11:45,28.33,BfCr01,451.8,24.78,8.43,0.22,7.33,,
7/11/2018,192,11:25,23.33,BfCr01,412.4,22.9,8.41,0.2,,10.64,
7/26/2018,207,9:24,21.11,BfCr01,416.2,22.4,8.19,0.2,,7.37,
8/7/2018,219,10:55,26.11,BfCr01,431.3,23.6,8.28,0.21,,7.68,
9/3/2018,246,16:28,32.78,BfCr01,448.7,28.5,8.32,0.21,,10.45,
10/24/2018,297,12:27,8.89,BfCr01,434.4,8.6,8.47,0.21,,14.36,
12/13/2018,347,12:00,7.22,BfCr01,416.3,2.7,8.23,0.2,,15.4,
1/3/2019,368,11:23,1.67,BfCr01,388.7,5.9,8,0.19,,13.44,
3/6/2019,430,10:08,-8.89,BfCr01,435.3,0,7.74,0.21,5.34,15.4,
5/31/2019,516,9:38,21.11,BfCr01,428.5,19.9,7.86,0.21,15.55,8.22,14.72
6/4/2019,521,9:14,17.78,BfCr01,427.7,15.6,8.25,0.21,,9.19,18.21
6/12/2019,528,9:36,19.44,BfCr01,414.7,17.4,8.24,0.2,6.06,8.08,14.4
6/28/2019,544,9:37,23.89,BfCr01,381.3,21.7,8.36,0.18,,7.96,20.4
7/4/2019,550,10:09,23.33,BfCr01,371.8,23.8,8.53,0.18,,7.72,20.23
7/11/2019,557,9:30,24.44,BfCr01,380.7,24.2,8.44,0.18,30.16,7.24,18.41
7/18/2019,564,9:04,21.67,BfCr01,359.1,23,8.38,0.17,19.63,7.92,16.53
7/25/2019,571,8:46,16.11,BfCr01,423,19.7,8.32,0.2,,8.12,14.58
8/1/2019,578,9:02,21.11,BfCr01,398.3,22,8.3,0.19,16.3,6.8,11.81
8/8/2019,585,8:22,18.89,BfCr01,416,21.6,8.43,0.2,16.75,6.77,20.98
8/22/2019,599,8:16,21.67,BfCr01,430.5,22.5,8.13,0.21,17.63,6,
8/30/2019,607,12:54,27.78,BfCr01,394,22.2,8.51,0.19,,9.08,
10/2/2019,640,14:08,30.56,BfCr01,500.1,22.9,8.77,0.24,,7.99,
10/23/2019,661,14:24,14.44,BfCr01,436.8,12.9,8.27,0.21,,12.41,17.8
11/1/2019,670,,2.2,BfCr01,324.6,10.7,8.31,0.15,27.3,10.01,9.5
11/16/2019,685,12:00,4.44,BfCr01,438.8,3.3,8.61,0.21,,10.59,29.52
11/19/2019,688,14:37,4.44,BfCr01,482.1,3.9,7.85,0.23,,10.46,12.97
12/11/2019,710,13:02,-2.78,BfCr01,322.2,3.8,7.89,0.15,,,9.5
12/19/2019,718,15:01,-3.33,BfCr01,374.7,0.8,8.66,0.18,,16.57,13.62
12/26/2019,725,12:09,11.11,BfCr01,421.3,2.9,8.1,0.2,,13.62,19.56
1/8/2020,738,9:38,1.11,BfCr01,391.8,2.7,8.4,0.19,,12.06,15.63
2/28/2020,789,11:36,-2.22,BfCr01,361,2.4,8.52,0.17,,15.01,16.7
3/9/2020,799,9:33,12.22,BfCr01,385,4.7,8.38,0.28,,13.69,10.98
4/10/2020,831,11:04,2.22,BfCr01,299.6,7.8,8.32,0.14,,10.33,21.69
5/1/2020,852,11:19,8.89,BfCr01,268.9,10.9,8.38,0.13,,10.32,15.74
5/8/2020,859,7:56,7.78,BfCr01,323.4,11.1,8.27,0.16,,9.6,14.36
5/13/2020,864,7:33,2.78,BfCr01,323.5,8.7,8.57,0.16,,11.04,15.83
5/20/2020,871,7:42,8.89,BfCr01,392.4,14.8,8.43,0.19,,10.01,11.56
5/28/2020,879,7:55,18.89,BfCr01,398.7,21.4,8.23,0.19,,6.4,29.36
6/5/2020,887,9:38,20.56,BfCr01,379.8,20.1,8.84,0.18,,7.12,20.47
6/9/2020,891,9:28,21.67,BfCr01,424.1,18.9,8.03,0.2,,7.82,
6/17/2020,899,8:04,16.67,BfCr01,438.3,18.9,8.13,0.21,13.5,7.57,
6/23/2020,905,7:44,21.11,BfCr01,429.2,21.4,8.08,0.21,,6.61,
6/29/2020,911,8:14,19.44,BfCr01,426.6,21.6,8.11,0.2,12.25,6.8,13.74
7/8/2020,920,7:44,19.44,BfCr01,303,22.6,7.93,0.14,,6.21,9.45
7/29/2020,941,13:31,30,BfCr01,379.6,27.9,8.48,0.18,13.5,9.72,30.06
8/4/2020,947,8:40,20,BfCr01,443.7,22.5,8.11,0.21,12,5.63,35.93
8/12/2020,955,8:39,22.22,BfCr01,482.8,23.5,8,0.23,13.6,5.71,33.8
8/19/2020,962,15:46,26.11,BfCr01,474.8,26,8.5,0.23,43.73,7.44,33.38
8/26/2020,969,11:34,22.78,BfCr01,466.7,21.1,8.1,0.22,12.5,6.5,40.22
9/2/2020,976,11:31,24.44,BfCr01,394.9,23.1,8.16,0.19,40.1,6.17,24.29
9/9/2020,983,15:25,29.44,BfCr01,410.3,25.8,8.27,0.2,29.3,8.71,23.44
9/16/2020,990,11:33,17.33,BfCr01,449.4,16,8.81,0.22,14.78,9.05,30.39
6/28/2018,179,13:10,22.78,BfCr02,406.9,19.83,8.29,0.2,124.5,,
7/3/2018,184,11:00,28.33,BfCr02,499.6,24.44,8.38,0.24,8.63,,
7/11/2018,192,11:45,25,BfCr02,450.8,24.2,8.4,0.22,,10.04,
7/26/2018,207,8:38,21.11,BfCr02,453.4,21.5,8.29,0.22,,7.56,
8/7/2018,219,10:40,26.11,BfCr02,484.5,24.7,8.33,0.23,,8.37,
9/3/2018,246,16:18,32.78,BfCr02,493,28.4,8.3,0.24,,9.49,
10/24/2018,297,12:15,8.89,BfCr02,474.1,8.8,8.39,0.23,,13.5,
