Site,Week Removed,Days in Stream,Substrate Number,Substrate,RespRateAvg,RespRateInd,Pre Dry Weight,Post Dry Weight,Ashed Weight,Post AFDM,Pre AFDM,Breakdown,Conductivity,Temp,pH,H,Turbidity,DO,Chloride,SRP,Nitrate,Ammonium,DIN,Sulfate,Magnesium,Manganese,Total Alkalinity,Iron,Total Hardness,Open Water,Perennial Ice/Snow,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Inensity ","Developed, High Intensity",Barren Land (Rock/Sand/Clay,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
BfCr01,1,7,116,Cellulose Sponge,NA,NA,0.3064,0.2435,0.0580,0.1855,0.27589788,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,1,7,117,Cellulose Sponge,NA,NA,0.3156,0.2476,0.0648,0.1828,0.28418202,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,1,7,119,Cellulose Sponge,NA,NA,0.3101,0.2821,0.1184,0.1637,0.279229545,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,1,7,124,Cellulose Sponge,NA,NA,0.3159,0.2504,0.0582,0.1922,0.284452155,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,114,Cellulose Sponge,0.751957543,0.463783784,0.2978,0.2653,0.1173,0.148,0.26815401,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,118,Cellulose Sponge,0.751957543,0.837393022,0.3003,0.3254,0.1735,0.1519,0.270405135,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,122,Cellulose Sponge,0.751957543,0.923863636,0.2909,0.4078,0.2670,0.1408,0.261940905,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,123,Cellulose Sponge,0.751957543,0.782789729,0.2847,0.3097,0.1656,0.1441,0.256358115,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,113,Cellulose Sponge,1.196277734,0.476368491,0.2782,0.2488,0.0990,0.1498,0.25050519,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,120,Cellulose Sponge,1.196277734,1.170870337,0.3157,0.4324,0.3198,0.1126,0.284272065,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
