Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
2/7/2018,38,18:15,0.56,ShCr02,989,1.8,8.32,0.5,,,
2/20/2018,51,16:43,25,ShCr02,823,13.5,8.2,0.4,,,
3/25/2018,84,16:38,4.44,ShCr02,1113,7.8,8.62,0.5,5.96,,
4/9/2018,92,13:01,-0.56,ShCr02,730,5.2,8.43,0.4,6.8,,
4/13/2018,103,14:25,25.56,ShCr02,680,16.4,8.36,0.3,11.14,,
5/21/2018,141,12:09,22.22,ShCr02,1187,20.5,8.43,0.6,,,
6/28/2018,179,11:54,22.22,ShCr02,759,19.06,8.3,0.37,20.88,,
7/3/2018,184,10:30,25.56,ShCr02,1223,23,8.38,0.61,4.39,,
7/11/2018,192,12:41,25,ShCr02,1144,24.3,8.32,0.57,,8.58,
7/26/2018,207,9:54,21.67,ShCr02,1084,21.9,8.28,0.54,,8.31,
8/7/2018,219,11:22,26.11,ShCr02,1181,23.3,8.28,0.59,,7.94,
9/3/2018,246,15:48,32.22,ShCr02,1205,27.9,8.13,0.6,,9.38,
10/24/2018,297,11:46,8.33,ShCr02,845,7.9,8.34,0.42,,12.92,
11/5/2018,309,12:57,,ShCr02,785,12.2,8.27,0.39,,12.38,
12/13/2018,347,11:20,7.22,ShCr02,933,3.4,8.28,0.46,,15.56,
12/17/2018,351,11:23,4.44,ShCr02,808,6.3,8.07,0.4,,13.61,
1/3/2019,368,12:09,1.67,ShCr02,647.3,5.9,7.91,0.32,,12.85,
2/15/2019,411,10:28,7.78,ShCr02,691.4,6.3,8.64,0.34,,14.2,
3/3/2019,427,11:10,3.9,ShCr02,906,6,8.65,0.45,,12.53,
3/6/2019,430,11:00,-8.33,ShCr02,720.8,0.3,8.01,0.35,5.12,15.31,
3/29/2019,453,10:50,12.2,ShCr02,1071,9,8.88,0.53,,11.77,
4/12/2019,467,11:21,23.9,ShCr02,889,15.4,8.76,0.44,,10.09,
5/31/2019,516,10:45,21.11,ShCr02,1178,19.4,8.3,0.59,26.93,8.24,175.15
6/4/2019,521,10:06,17.78,ShCr02,1445,15.1,8.2,0.73,,9.95,235.39
6/12/2019,528,10:43,19.44,ShCr02,1134,17,8.49,0.57,4.25,8.83,154.97
6/28/2019,544,10:55,25.56,ShCr02,894,21.3,8.51,0.44,,7.64,143.47
7/4/2019,550,11:38,27.22,ShCr02,730,23.6,8.52,0.36,,8.69,88.38
7/11/2019,557,12:41,24.44,ShCr02,653,22.9,8.41,0.32,19.83,6.54,48.25
7/18/2019,564,10:25,22.22,ShCr02,685,21.8,8.46,0.33,10.67,9.08,41.43
7/24/2019,570,10:38,20,ShCr02,921,18.8,8.38,0.46,,8.8,83.27
7/25/2019,571,10:00,20,ShCr02,687,17.7,8.51,0.34,,9.08,29.85
8/1/2019,578,10:14,22.78,ShCr02,1200,21.5,8.56,0.6,4.65,7.78,156.3
8/8/2019,585,9:45,21.11,ShCr02,1543,21.3,8.59,0.78,4.88,5.12,270.15
8/22/2019,599,9:28,22.78,ShCr02,1162,21.6,8.47,0.58,4.29,4.01,
8/30/2019,607,14:36,27.78,ShCr02,1438,23.8,8.55,0.72,,7.04,
9/18/2019,626,12:00,21.11,ShCr02,2180,20.9,8.05,1.11,8.49,7.32,
10/2/2019,640,15:10,30.56,ShCr02,2138,29.5,8.18,1.09,,6.87,
10/23/2019,661,15:12,14.44,ShCr02,1110,13.4,8.1,0.55,,10,110.86
11/1/2019,670,,7,ShCr02,754,10.7,8.02,0.37,28.9,10.02,59.29
11/14/2019,683,15:30,-3,ShCr02,764.2,4.2,7.95,0.37,3.48,14.79,61.66
11/20/2019,689,12:56,4.44,ShCr02,1065,6.2,8.73,0.53,,10.44,110.44
12/11/2019,710,11:58,-3.33,ShCr02,703.7,3.1,7.73,0.34,,,61.37
12/18/2019,717,12:33,-3.33,ShCr02,686.4,2.7,7.89,0.33,,13.32,52.19
12/26/2019,725,11:10,9.44,ShCr02,995,3.1,7.71,0.49,,13.4,110.65
1/8/2020,738,10:42,1.11,ShCr02,699.1,2.8,7.81,0.34,,12.42,43.02
2/5/2020,766,12:27,2.22,ShCr02,662.1,5.6,7.97,0.32,,12.2,45.88
2/20/2020,781,,,ShCr02,640.9,3.4,8.11,0.34,2.88,13.2,40.03
3/9/2020,799,10:28,12.22,ShCr02,772.6,5,8.28,0.38,,13.62,56
3/26/2020,816,10:59,12.78,ShCr02,693.6,7.9,8.2,0.34,,11.38,60.09
4/10/2020,831,8:37,1.11,ShCr02,666.6,6.4,8.02,0.33,,10.54,68.2
5/1/2020,852,8:01,7.22,ShCr02,572.5,10.1,8.07,0.28,,10.44,52.87
5/8/2020,859,8:46,7.78,ShCr02,704,10.1,8.14,0.35,,10.53,77.61
5/13/2020,864,10:55,12.78,ShCr02,653.9,9.7,8.56,0.32,,13.3,78.43
5/20/2020,871,8:29,8.89,ShCr02,935,13.2,8.27,0.46,,10.11,80.52
