Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
6/21/2019,537,12:49,22.78,FdCr,481.8,18.9,8.31,0.23,,8.75,55.49
6/27/2019,543,12:00,30,FdCr,680,20.4,8.52,0.33,,8.32,132.01
7/2/2019,548,1:16,31.11,FdCr,635,21.6,8.41,0.31,,8.34,108.81
7/12/2019,558,13:10,24.44,FdCr,565,20.4,8.48,0.27,8.24,8.67,74.45
7/17/2019,563,11:35,25.56,FdCr,567,21.2,8.3,0.27,5.09,8.21,58.4
7/24/2019,570,14:34,23.89,FdCr,678,19.5,8.62,0.33,,8.98,56.69
7/29/2019,575,11:11,28.33,FdCr,712,20.5,8.56,0.35,16.28,6.68,94.78
9/8/2019,616,13:56,24.44,FdCr,735,20.2,8.02,0.36,,7.53,
10/3/2019,641,15:19,32.22,FdCr,705,23.2,8.11,0.34,,7.29,
10/21/2019,659,14:42,20.56,FdCr,710,13.6,8.2,0.35,,10.34,63.32
10/28/2019,666,14:34,18.89,FdCr,632.8,12.8,7.94,0.31,,9.91,74.37
11/4/2019,673,13:40,13.89,FdCr,667.5,8.9,7.82,0.33,,8.86,76.99
11/11/2019,680,14:39,17.22,FdCr,685.5,10.4,7.87,0.34,,8.15,79.5
11/25/2019,694,11:32,10,FdCr,595.1,5.7,7.78,0.29,,3.83,63.7
12/11/2019,710,11:33,-3.33,FdCr,591.7,3.1,7.81,0.29,,,49.01
12/18/2019,717,12:10,-3.33,FdCr,609.7,3.7,7.72,0.29,,12.74,48.89
12/26/2019,725,10:44,7.22,FdCr,688.9,4.2,7.8,0.33,,12.7,83.7
1/10/2020,740,9:55,8.33,FdCr,686.7,5.9,7.99,0.34,,10.95,57.88
1/20/2020,750,14:24,-2.22,FdCr,628.6,2.4,7.76,0.3,,14.55,75
1/28/2020,758,15:13,1.11,FdCr,628.4,4.7,7.8,0.31,,11.33,94.6
2/10/2020,771,15:20,1.11,FdCr,568.8,6.6,7.83,0.28,,13.17,108.98
2/18/2020,779,14:37,10,FdCr,643.8,7,7.96,0.31,,10.42,75.3
2/25/2020,786,14:43,5,FdCr,636.8,7.2,8.12,0.31,,12.47,90.77
3/4/2020,794,14:41,11.67,FdCr,581.9,7.9,8.22,0.23,,11.45,63.64
3/9/2020,799,12:41,15,FdCr,926,8,8.18,0.46,,11.91,252.72
3/26/2020,816,10:35,10,FdCr,615,7.4,8.23,0.3,,11.51,90.03
4/10/2020,831,10:20,2.22,FdCr,419.7,6.1,8.19,0.2,,11.46,91.78
5/1/2020,852,10:26,8.89,FdCr,504.3,10.6,8.18,0.24,,13.56,71.67
5/8/2020,859,11:44,9.44,FdCr,555.1,9.9,8.38,0.27,,10.56,99.77
5/13/2020,864,10:31,12.78,FdCr,565.9,8.1,8.49,0.28,,12.8,104.31
5/20/2020,871,10:39,10,FdCr,637.3,11.7,8.3,0.31,,10.54,71.17
