Site,Stream,Week Removed,Days in Stream,Substrate Number,Substrate,RespRateAvg,RespRateInd,Pre Dry Weight,Post Dry Weight,Ashed Weight,Post AFDM,Pre AFDM,Breakdown,Conductivity,Temp,pH,H,Turbidity,DO,Chloride,SRP,Nitrate,Ammonium,DIN,Sulfate,Magnesium,Manganese,Total Alkalinity,Iron,Total Hardness,Open Water,Perennial Ice/Snow,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Inensity ","Developed, High Intensity",Barren Land (Rock/Sand/Clay,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
BfCr01,Buffalo Creek,4,28,115,Cellulose Sponge,1.212657931,1.313833992,0.2697,0.2644,0.1632,0.1012,0.242851365,0.028,401.2666667,22.16666667,8.333333333,4.64E-09,20.094,7.141666667,16.462,15.7,121,162,283,25.3333,52,0.018,216.6667,0.2833,370,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,Buffalo Creek,6,49,117,Wood Veneer,0.113432412,0.121394395,0.1857,0.164,0.0177,0.1463,0.183414033,0.0042,401.2666667,22.16666667,8.333333333,4.64E-09,20.094,7.141666667,16.462,15.7,121,162,283,25.3333,52,0.018,216.6667,0.2833,370,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr02,Buffalo Creek,4,28,182,Cellulose Sponge,1.568282835,1.757746479,0.2768,0.2222,0.0944,0.1278,0.24924456,0.021,426.0666667,23.3,8.6,2.51E-09,21.422,6.851666667,18.218,15.2,88.6,141,229.6,42.3333,60.6667,0.01,211.6667,2.15,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,Buffalo Creek,6,49,180,Wood Veneer,0.110883048,0.101510574,0.1852,0.1871,0.0216,0.1655,0.182920188,0.0045,426.0666667,23.3,8.6,2.51E-09,21.422,6.851666667,18.218,15.2,88.6,141,229.6,42.3333,60.6667,0.01,211.6667,2.15,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
LrCr,Long Run Creek,4,28,68,Cellulose Sponge,1.648949743,1.350433276,0.2931,0.4082,0.2928,0.1154,0.263921895,0.0312,600.8333333,21.81666667,8.08,8.32E-09,8.786,8.831666667,46.028,19.4,335,70.8,405.8,80.6667,130,0.0097,306.6667,0.4667,428.3333,0,0,25.2,30.4,23.3,8.5,0,12.7,0,0,0,0,0,0,0,0
LrCr,Long Run Creek,6,49,69,Wood Veneer,0.128950461,0.119430199,0.2144,0.1848,0.0093,0.1755,0.211760736,0.0038,600.8333333,21.81666667,8.08,8.32E-09,8.786,8.831666667,46.028,19.4,335,70.8,405.8,80.6667,130,0.0097,306.6667,0.4667,428.3333,0,0,25.2,30.4,23.3,8.5,0,12.7,0,0,0,0,0,0,0,0
NoFr01,North Fork Creek,4,28,146,Cellulose Sponge,1.015027345,0.853793954,0.3132,0.2804,0.1183,0.1621,0.28202094,0.0163,613.65,20.45,8.448333333,3.56E-09,6.178,7.968333333,28.092,20.8,123.1,74.8,197.9,116.3333,115,0.0157,453.3333,0.3667,706.6667,0,0,17.1,10.3,2.5,0,7.1,52.9,0,0.2,0,9.8,0.1,0,0,0
NoFr01,North Fork Creek,6,49,149,Wood Veneer,0.091176436,0.079645145,0.2464,0.2118,0.0089,0.2029,0.243366816,0.0036,613.65,20.45,8.448333333,3.56E-09,6.178,7.968333333,28.092,20.8,123.1,74.8,197.9,116.3333,115,0.0157,453.3333,0.3667,706.6667,0,0,17.1,10.3,2.5,0,7.1,52.9,0,0.2,0,9.8,0.1,0,0,0
NoFr03,North Fork Creek,4,28,161,Cellulose Sponge,0.872259562,0.85188881,0.2897,0.2272,0.0869,0.1403,0.260860365,0.0116,423.3,19.21666667,8.353333333,4.43E-09,20.744,7.783333333,8.322,28.1,266.3,102.2,368.6,32.6667,82.5,0.0047,245,0.4333,248.3333,0,0,6,1.5,0.1,0.1,0,84.3,0,0,0,1.4,1.6,5,0,0
NoFr03,North Fork Creek,6,49,165,Wood Veneer,0.124754686,0.134556575,0.2281,0.2032,0.007,0.1962,0.225292089,0.0026,423.3,19.21666667,8.353333333,4.43E-09,20.744,7.783333333,8.322,28.1,266.3,102.2,368.6,32.6667,82.5,0.0047,245,0.4333,248.3333,0,0,6,1.5,0.1,0.1,0,84.3,0,0,0,1.4,1.6,5,0,0
