Site,Stream,Week Removed,Days in Stream,Substrate Number,Substrate,RespRateAvg,RespRateInd,Pre Dry Weight,Post Dry Weight,Ashed Weight,Post AFDM,Pre AFDM,Breakdown,Conductivity,Temp,pH,H,Turbidity,DO,Chloride,SRP,Nitrate,Ammonium,DIN,Sulfate,Magnesium,Manganese,Total Alkalinity,Iron,Total Hardness,Open Water,Perennial Ice/Snow,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Inensity ","Developed, High Intensity",Barren Land (Rock/Sand/Clay,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
BfCr01,Buffalo Creek,4,28,4,Cellulose,0.554372626,0.543195266,0.2736,0.2061,0.246363046,0.0709,0.0156,0.0156,411.475,22.45,8.33,4.68E-09,NA,9.035,NA,4.04,253.85,114.1,367.95,NA,NA,NA,NA,NA,NA,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,Buffalo Creek,4,28,4,Wood,0.114798291,0.080462428,0.1812,0.1782,0.178970325,0.0052,0.002,0.002,411.475,22.45,8.33,4.68E-09,NA,9.035,NA,4.04,253.85,114.1,367.95,NA,NA,NA,NA,NA,NA,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr02,Buffalo Creek,4,28,4,Cellulose,0.467943355,0.480777238,0.2702,0.2446,0.243301517,0.1005,0.013,0.013,452.675,22.4925,8.34,4.57E-09,NA,8.865,NA,4.23,405.1,82.25,487.35,NA,NA,NA,NA,NA,NA,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,Buffalo Creek,4,28,4,Wood,0.123633724,0.099637243,0.1806,0.1701,0.178377708,0.0047,0.0026,0.0026,452.675,22.4925,8.34,4.57E-09,NA,8.865,NA,4.23,405.1,82.25,487.35,NA,NA,NA,NA,NA,NA,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
LrCr,Long Run Creek,4,28,4,Cellulose,0.597455937,0.634636872,0.2618,0.1874,0.235737739,0.0621,0.0156,0.0156,652.3333333,22.5,8.36,4.37E-09,NA,10.2225,NA,5.45,304.355,79.4,383.755,NA,NA,NA,NA,NA,NA,0,0,25.2,30.4,23.3,8.5,0,12.7,0,0,0,0,0,0,0,0
LrCr,Long Run Creek,4,28,4,Wood,0.30800397,0.280070964,0.1909,0.1771,0.188550966,0.008,0.0025,0.0025,652.3333333,22.5,8.36,4.37E-09,NA,10.2225,NA,5.45,304.355,79.4,383.755,NA,NA,NA,NA,NA,NA,0,0,25.2,30.4,23.3,8.5,0,12.7,0,0,0,0,0,0,0,0
NoFr01,North Fork Creek,4,28,4,Cellulose,0.605278282,0.639635535,0.272,0.1593,0.244922327,0.0715,0.027,0.027,601.35,20.74,8.3275,4.70E-09,NA,9.3825,NA,7.33,568.5,127.45,695.95,NA,NA,NA,NA,NA,NA,0,0,17.1,10.3,2.5,0,7.1,52.9,0,0.2,0,9.8,0.1,0,0,0
NoFr01,North Fork Creek,4,28,4,Wood,0.148369397,0.15483871,0.1749,0.1701,0.172747846,0.012,0.004,0.004,601.35,20.74,8.3275,4.70E-09,NA,9.3825,NA,7.33,568.5,127.45,695.95,NA,NA,NA,NA,NA,NA,0,0,17.1,10.3,2.5,0,7.1,52.9,0,0.2,0,9.8,0.1,0,0,0
NoFr03,North Fork Creek,4,28,4,Cellulose,0.258363433,0.312605042,0.2694,0.2109,0.242581157,0.0681,0.0122,0.0122,434.675,19.7675,8.29,5.13E-09,NA,8.6525,NA,5.67,415.5,83.05,498.55,NA,NA,NA,NA,NA,NA,0,0,6,1.5,0.1,0.1,0,84.3,0,0,0,1.4,1.6,5,0,0
NoFr03,North Fork Creek,4,28,4,Wood,0.176288889,0.152884615,0.1857,0.174,0.183414952,0.0076,0.0029,0.0029,434.675,19.7675,8.29,5.13E-09,NA,8.6525,NA,5.67,415.5,83.05,498.55,NA,NA,NA,NA,NA,NA,0,0,6,1.5,0.1,0.1,0,84.3,0,0,0,1.4,1.6,5,0,0
